policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
driver_hold,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0625,1.95,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.25,1.9,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.5625,1.85,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,1.8,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.5625,1.75,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.25,1.7,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.35,7.0,0.0,0.0,0.0,0.0,0.0,0.03461394557823132,0.0,1.0,0.0,67.0625,1.65,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.39999999999999997,8.0,0.0,0.0,0.0,0.0,0.0,0.06931707317073176,0.0,1.0,0.0,63.0,1.6,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.44999999999999996,9.0,0.0,0.0,0.0,0.0,0.0,0.10411607142857147,0.0,1.0,0.0,59.0625,1.55,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.49999999999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.1390183150183151,0.0,1.0,0.0,55.25,1.5,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.5499999999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.17403195488721812,0.0,1.0,0.0,51.5625,1.45,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.20916602316602315,0.0,1.0,0.0,48.0,1.4,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.65,13.0,0.0,0.0,0.0,0.0,0.0,0.24443055555555554,0.0,1.0,0.0,44.5625,1.35,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.7000000000000001,14.0,0.0,0.0,0.0,0.0,0.0,0.27983673469387754,0.0,1.0,0.0,41.25,1.3,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.7500000000000001,15.0,0.0,0.0,0.0,0.0,0.0,0.3153970588235294,0.0,1.0,0.0,38.0625,1.25,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.8000000000000002,16.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,35.0,1.2,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.8500000000000002,17.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,32.0625,1.15,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.9000000000000002,18.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,29.25,1.1,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,0.9500000000000003,19.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,26.5625,1.05,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.0000000000000002,20.0,0.0,0.0,0.0,0.0004327912314023425,0.0,0.35,0.0,1.0,0.0,24.0,1.0,0.06,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.0500000000000003,21.0,0.0,0.0,1.202197865006507e-05,0.0023417548938889903,2.8852748760156166e-05,0.35,2.8852748760156166e-05,1.0,0.0,21.5625,0.95,0.05999999988148706,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.1000000000000003,22.0,3.005494662516268e-06,2.4043957300130144e-06,7.20615679316766e-05,0.006980625936775029,0.0001561169929259327,0.35,0.0001561169929259327,1.0,0.0,19.250000000003126,0.9,0.05999999569424239,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.1500000000000004,22.999999999955474,2.272650486636103e-05,1.781765925875275e-05,0.00023594219064833991,0.01562873698702329,0.0004653750624516686,0.35,0.0004653750624516686,1.0,0.0,17.06250000027334,0.8500000000022263,0.0599999538069557,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.2000000000000004,23.999999998841854,9.413618600047135e-05,7.12685917654089e-05,0.0005717645275177342,0.029519599707225494,0.0010419157991348861,0.35,0.0010419157991348861,1.0,0.0,15.000000005382596,0.8000000000579073,0.05999972930860549,-0.0,-0.0,0.0,0.0,0.0
driver_hold,1.2500000000000004,24.99999998766383,0.0002866140865102962,0.00020682861061534417,0.0011535181884749421,0.04982688041326633,0.001967973313815033,0.35,0.001967973313815033,1.0,0.0,13.062500051555105,0.7500000006168085,0.05999889148838269,-0.0,-0.0,0.0,0.0,0.0
