policy,t,x,y,psi,delta_rwa,delta_swa,delta_drv_rwa,delta_auto_rwa,delta_cmd,lam,action,h,ttc,reward,reward_barrier,reward_takeover,collision,road_departure,success
heuristic,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.0625,1.95,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.25,1.9,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.15000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.5625,1.85,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,1.8,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.5625,1.75,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.25,1.7,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.35,7.0,0.0,0.0,0.0,0.0,0.0,0.03461394557823132,0.0,1.0,0.0,67.0625,1.65,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.39999999999999997,8.0,0.0,0.0,0.0,0.0,0.0,0.06931707317073176,0.0,1.0,0.0,63.0,1.6,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.44999999999999996,9.0,0.0,0.0,0.0,0.0,0.0,0.10411607142857147,0.0,1.0,0.0,59.0625,1.55,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.49999999999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.1390183150183151,0.0,1.0,0.0,55.25,1.5,0.06,-0.0,-0.0,0.0,0.0,0.0
heuristic,0.5499999999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.17403195488721812,0.0,1.0,0.0,51.5625,1.45,0.06,-0.0,-0.0,0.0,0.0,0.0
