difficulty,driver_profile,delta_success,delta_collision,delta_min_h,delta_takeover
easy,frozen,0.0,0.0,0.01307755147986149,0.014237288135593218
easy,late_aggressive,0.0,0.0,0.10366734071598227,0.017647058823529294
easy,late_linear,0.0,0.0,-0.0051343192355790546,0.008923076923077033
easy,wrong_initial,0.0,0.0,0.014122532937765414,0.03333333333333344
hard,frozen,0.0,0.0,-0.0006700663731909,0.004285714285714337
hard,late_aggressive,0.0,0.0,0.0005753717756158006,0.0023255813953487747
hard,late_linear,0.0,0.0,0.014221268460023102,0.0011111111111110628
hard,wrong_initial,0.0,0.0,0.0017074496015083,0.008421052631578885
medium,frozen,0.0,0.0,0.022778407099787096,0.01428571428571418
medium,late_aggressive,0.0,0.0,0.002841637893471499,0.0183333333333332
medium,late_linear,0.0,0.0,0.006436140982162303,0.033333333333333326
medium,wrong_initial,0.0,0.0,-0.022824236631070097,-0.002083333333333326
