policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
sac,easy,frozen,1.0,0.0,0.12735732195436378,0.475593220338983,23.557048547312455
sac,easy,late_aggressive,1.0,0.0,0.7649367949252968,0.4720588235294117,-2.306161062292503
sac,easy,late_linear,1.0,0.0,0.4988951519540288,0.4476923076923077,24.40911377952333
sac,easy,wrong_initial,1.0,0.0,0.17125505785936657,0.6433333333333333,14.20621677858108
sac,hard,frozen,1.0,0.0,0.002755595269767541,0.508095238095238,-9.948266163032194
sac,hard,late_aggressive,1.0,0.0,0.0071264931242267515,0.5116279069767442,-13.580668299265326
sac,hard,late_linear,1.0,0.0,0.030573600571725645,0.5283333333333333,1.2641583088931014
sac,hard,wrong_initial,1.0,0.0,0.003641927115932475,0.5105263157894737,1.4723394790648285
sac,medium,frozen,0.0,1.0,-0.13303853752555084,0.4985714285714285,-204.93272183176651
sac,medium,late_aggressive,0.0,1.0,-0.12766437702395783,0.49166666666666664,-206.20975637298736
sac,medium,late_linear,0.0,1.0,-0.21294007985632768,0.5033333333333333,-204.92922617804882
sac,medium,wrong_initial,1.0,0.0,0.01586837470081459,0.50875,13.419626606607636
