policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
sac,easy,frozen,1.0,0.0,0.13994783241595488,0.4447457627118644,23.21751275440061
sac,easy,late_aggressive,1.0,0.0,0.9727334142440118,0.43558823529411766,-33.18166369140407
sac,easy,late_linear,1.0,0.0,0.5942320114218294,0.43218749999999995,22.142011684429008
sac,easy,wrong_initial,1.0,0.0,0.08349945088662314,0.5961111111111113,10.356381778662865
sac,hard,frozen,1.0,0.0,0.0010390096518280156,0.44619047619047625,-6.800030895612167
sac,hard,late_aggressive,1.0,0.0,0.002514096175228575,0.4413953488372092,-20.70154910234657
sac,hard,late_linear,1.0,0.0,0.02060879066469834,0.45944444444444443,0.3256214742339054
sac,hard,wrong_initial,1.0,0.0,0.0014165809437025612,0.45368421052631586,1.6600131701371694
sac,medium,frozen,0.0,1.0,-0.23233028308544323,0.4185714285714286,-204.47591948812294
sac,medium,late_aggressive,0.0,1.0,-0.14384452186745456,0.43166666666666664,-205.70067418682015
sac,medium,late_linear,0.0,1.0,-0.23074323083177128,0.45166666666666666,-204.44504834022175
sac,medium,wrong_initial,1.0,0.0,0.035586930572460984,0.46708333333333335,11.064508495094316
