difficulty,driver_profile,success_mean_v11,collision_mean_v11,min_h_mean_v11,mean_takeover_mean_v11,return_mean_v11,success_mean_base,collision_mean_base,min_h_mean_base,mean_takeover_mean_base,return_mean_base,delta_success_mean,delta_collision_mean,delta_min_h_mean,delta_mean_takeover_mean,delta_return_mean
easy,frozen,1.0,0.0,0.1399478324159548,0.4447457627118644,23.21751275440061,1.0,0.0,0.1142797704745022,0.4613559322033898,23.24122644908197,0.0,0.0,0.02566806194145259,-0.016610169491525384,-0.023713694681362085
easy,late_aggressive,1.0,0.0,0.9727334142440118,0.4355882352941176,-33.18166369140407,1.0,0.0,0.6612694542093145,0.4544117647058824,3.208540589746057,0.0,0.0,0.31146396003469734,-0.018823529411764794,-36.390204281150126
easy,late_linear,1.0,0.0,0.5942320114218294,0.4321874999999999,22.142011684429008,1.0,0.0,0.5040294711896078,0.4387692307692307,24.33509481103641,0.0,0.0,0.09020254023222152,-0.006581730769230798,-2.1930831266074016
easy,wrong_initial,1.0,0.0,0.0834994508866231,0.5961111111111113,10.356381778662865,1.0,0.0,0.1571325249216011,0.6099999999999999,13.500867781608,0.0,0.0,-0.073633074034978,-0.013888888888888618,-3.1444860029451345
hard,frozen,1.0,0.0,0.001039009651828,0.4461904761904762,-6.800030895612167,1.0,0.0,0.0034256616429584,0.5038095238095237,-8.409937685287375,0.0,0.0,-0.0023866519911304,-0.057619047619047514,1.6099067896752075
hard,late_aggressive,1.0,0.0,0.0025140961752285,0.4413953488372092,-20.70154910234657,1.0,0.0,0.0065511213486109,0.5093023255813954,-11.034554950514242,0.0,0.0,-0.0040370251733824,-0.06790697674418622,-9.666994151832327
hard,late_linear,1.0,0.0,0.0206087906646983,0.4594444444444444,0.3256214742339054,1.0,0.0,0.0163523321117025,0.5272222222222223,3.6661484677778304,0.0,0.0,0.004256458552995803,-0.06777777777777788,-3.340526993543925
hard,wrong_initial,1.0,0.0,0.0014165809437025,0.4536842105263158,1.6600131701371694,1.0,0.0,0.0019344775144241,0.5021052631578948,5.214718773162367,0.0,0.0,-0.0005178965707216001,-0.04842105263157903,-3.554705603025198
medium,frozen,0.0,1.0,-0.2323302830854432,0.4185714285714286,-204.4759194881229,0.0,1.0,-0.1558169446253379,0.4842857142857143,-204.91661183235055,0.0,0.0,-0.0765133384601053,-0.06571428571428573,0.44069234422764225
medium,late_aggressive,0.0,1.0,-0.1438445218674545,0.4316666666666666,-205.70067418682012,0.0,1.0,-0.1305060149174293,0.4733333333333334,-206.0731624230416,0.0,0.0,-0.013338506950025197,-0.041666666666666796,0.3724882362214714
medium,late_linear,0.0,1.0,-0.2307432308317712,0.4516666666666666,-204.44504834022172,0.0,1.0,-0.2193762208384899,0.47,-204.6217050880778,0.0,0.0,-0.011367009993281302,-0.018333333333333368,0.17665674785607166
medium,wrong_initial,1.0,0.0,0.0355869305724609,0.4670833333333333,11.064508495094316,1.0,0.0,0.0386926113318846,0.5108333333333334,13.983950100429984,0.0,0.0,-0.003105680759423697,-0.04375000000000007,-2.9194416053356687
