policy,difficulty,driver_profile,success_mean,collision_mean,min_h_mean,mean_takeover_mean,return_mean
driver,easy,frozen,0.0,1.0,-0.051140669338392786,0.0,-199.4229474208477
driver,easy,late_aggressive,0.0,0.0,1.6297818816464833,0.0,-125417.38693489006
driver,easy,late_linear,1.0,0.0,0.9622187432793525,0.0,-155.13790225703374
driver,easy,wrong_initial,0.0,1.0,-0.0966828506760129,0.0,-201.39516737817115
driver,hard,frozen,0.0,1.0,-0.06141812535168112,0.0,-204.10061552718327
driver,hard,late_aggressive,0.0,1.0,-0.24984610904744486,0.0,-204.39389394112212
driver,hard,late_linear,0.0,1.0,-0.4464525755591382,0.0,-203.7411293899891
driver,hard,wrong_initial,0.0,1.0,-0.16624127064540062,0.0,-200.16683896561096
driver,medium,frozen,0.0,1.0,-0.35961193104359845,0.0,-203.29669426225854
driver,medium,late_aggressive,0.0,1.0,-0.3547987544780633,0.0,-204.35500878057672
driver,medium,late_linear,0.0,1.0,-0.2821521583967437,0.0,-202.63703003628785
driver,medium,wrong_initial,0.0,1.0,-0.25141262899680006,0.0,-201.28505487849299
