policy_sac,difficulty,driver_profile,success_mean_sac,collision_mean_sac,min_h_mean_sac,mean_takeover_mean_sac,return_mean_sac,policy_heur,success_mean_heur,collision_mean_heur,min_h_mean_heur,mean_takeover_mean_heur,return_mean_heur,delta_success,delta_takeover,delta_min_h
sac,easy,frozen,1.0,0.0,0.0707749861041999,0.7545762711864408,17.65782903855048,heuristic,1.0,0.0,0.1142797704745022,0.4613559322033898,23.24122644908197,0.0,0.293220338983051,-0.04350478437030231
sac,easy,late_aggressive,1.0,0.0,0.1509301338520861,0.7873529411764706,8.38296301818741,heuristic,1.0,0.0,0.6612694542093145,0.4544117647058824,3.208540589746057,0.0,0.3329411764705882,-0.5103393203572284
sac,easy,late_linear,1.0,0.0,0.1413667828818703,0.7865625,21.6889311098212,heuristic,1.0,0.0,0.5040294711896078,0.4387692307692307,24.33509481103641,0.0,0.34779326923076936,-0.3626626883077375
sac,easy,wrong_initial,1.0,0.0,0.0115871345001581,0.6933333333333334,-4.450534804934335,heuristic,1.0,0.0,0.1571325249216011,0.6099999999999999,13.500867781608,0.0,0.08333333333333348,-0.145545390421443
sac,hard,frozen,1.0,0.0,0.0037874295759265,0.6742857142857143,-5.764050151291805,heuristic,1.0,0.0,0.0034256616429584,0.5038095238095237,-8.409937685287375,0.0,0.17047619047619056,0.00036176793296810016
sac,hard,late_aggressive,1.0,0.0,0.010891682267746,0.6944186046511628,7.307410503606341,heuristic,1.0,0.0,0.0065511213486109,0.5093023255813954,-11.034554950514242,0.0,0.18511627906976735,0.004340560919135101
sac,hard,late_linear,1.0,0.0,0.0021727588590183,0.6433333333333332,1.808823462464801,heuristic,1.0,0.0,0.0163523321117025,0.5272222222222223,3.6661484677778304,0.0,0.11611111111111094,-0.014179573252684199
sac,hard,wrong_initial,1.0,0.0,0.0050124526414785,0.6242105263157894,11.391314929401544,heuristic,1.0,0.0,0.0019344775144241,0.5021052631578948,5.214718773162367,0.0,0.1221052631578946,0.0030779751270544
sac,medium,frozen,0.0,1.0,-0.2409559049866292,0.3857142857142857,-204.45595695660592,heuristic,0.0,1.0,-0.1558169446253379,0.4842857142857143,-204.91661183235055,0.0,-0.09857142857142864,-0.08513896036129129
sac,medium,late_aggressive,0.0,1.0,-0.237934248208427,0.33,-205.24205968071263,heuristic,0.0,1.0,-0.1305060149174293,0.4733333333333334,-206.0731624230416,0.0,-0.14333333333333337,-0.10742823329099771
sac,medium,late_linear,0.0,1.0,-0.2654209043627683,0.33,-203.69431781312363,heuristic,0.0,1.0,-0.2193762208384899,0.47,-204.6217050880778,0.0,-0.13999999999999996,-0.046044683524278374
sac,medium,wrong_initial,1.0,0.0,0.0488824106068852,0.6983333333333333,15.675671760315122,heuristic,1.0,0.0,0.0386926113318846,0.5108333333333334,13.983950100429984,0.0,0.1874999999999999,0.010189799275000605
